Shop name,Shop ID,Shop ID,Order Count,Count of misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Price adjustments (incl. tax),Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Marketing adjustment,Bag fee,Marketplace Fee,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Total sales after adjustments (incl. tax),Capital payments,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Payout reference ID
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,194,14,4770.15,449.12,5219.27,-30.49,-6.17,-36.66,0,0,0,-620.96,-60.59,0,0,0,0,0,-638.83,0,0,0,0,4598.31,0,-65.63,-382.36,0,3414.24,02/09/2025,34955559IMROD2Q
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,256,16,5766.84,542.1,6308.94,-57.6,-4.58,-62.18,0,0,0,-692.28,-69.98,0,0,0,0,0,-778.95,0,0,0,0,5616.66,0,-155.49,-467.54,0,4198.94,08/09/2025,9N6C6S7I8DV5WWM
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,207,19,4592.87,424.05,5016.92,-66.54,-6.78,-73.32,0,0,0,-475.06,-48.57,0,0,0,0,0,-634.04,0,0,0,0,4541.86,0,-154.95,-368.7,0,3287.24,15/09/2025,OJYXTE4HCRANN2B
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,187,12,4985.34,454.38,5439.72,-41.59,-3.29,-44.88,0,0,0,-553.6,-52.32,0,0,0,0,0,-682.65,0,0,0,0,4886.12,0,-66.43,-398.77,0,3641.07,02/09/2025,3Z9DT3LUZZ3VQKK
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,171,16,4389.73,400.3,4790.03,-41.45,-3.28,-44.73,0,0,0,-409.15,-41.03,0,0,0,0,0,-611.22,0,0,0,0,4380.88,0,-151.47,-355.99,0,3256.25,08/09/2025,PDS7PY1EDXHMXNS
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,158,20,3530.3,320.88,3851.18,21.04,0,21.04,0,0,0,-395.39,-40,0,0,0,0,0,-480.23,0,0,0,0,3455.79,0,-154.34,-280.88,0,2533.54,15/09/2025,B10KUNR5U4YZFZR
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,83,12,1927.5,185.04,2112.54,12.29,-0.29,12,0,0,0,-194.06,-19.16,0,0,0,0,0,-266.31,0,0,0,0,1918.48,0,-61.86,-165.59,0,1417.56,02/09/2025,P2VL68828Y2UX79
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,80,16,2068.31,199.1,2267.41,-40.95,-7.33,-48.28,0,0,0,-240.33,-24.66,0,0,0,0,0,-281.34,0,0,0,0,2027.08,0,-139.91,-167.11,0,1388.12,08/09/2025,ADWF37NX295BMIW
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,68,17,1705.06,162.01,1867.07,-25.68,-3.56,-29.24,0,0,0,-191.36,-19.88,0,0,0,0,0,-233.1,0,0,0,0,1675.71,0,-132.51,-138.57,0,1133.29,15/09/2025,WAYBEIMAH0L14RK
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,161,13,3732.51,361.33,4093.84,-36.92,-3.68,-40.6,0,0,0,-324.17,-32.58,0,0,0,0,0,-522.75,0,0,0,0,3769.67,0,-85.66,-325.07,0,2763.01,02/09/2025,T2WPGVI5S16PPUB
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,156,16,3786.24,370.01,4156.25,-14.17,-0.63,-14.8,0,0,0,-354.6,-36,0,0,0,0,0,-529.08,0,0,0,0,3801.65,0,-209.37,-333.38,0,2730.84,08/09/2025,HB6ERGZZX2ZIJVR
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,141,16,3139.76,309.23,3448.99,8.18,0,8.18,0,0,0,-287.96,-29.9,0,0,0,0,0,-438.23,0,0,0,0,3161.03,0,-186.42,-279.33,0,2250.05,15/09/2025,AZ37AYC6A2IT0SP
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,280,14,6810.43,667.44,7477.87,-44.1,-4.64,-48.74,0,0,0,-633.44,-63.81,0,0,0,0,0,-949.77,0,0,0,0,6844.43,0,-86.78,-598.99,0,5096.34,02/09/2025,CLY1V0W5FT8ZOY0
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,291,16,6841.72,666.84,7508.56,-37.43,-5.16,-42.59,0,0,0,-574.22,-60.04,0,0,0,0,0,-953.65,0,0,0,0,6934.34,0,-176.11,-601.64,0,5243,08/09/2025,QR59IOHKEYFCZ8A
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,316,19,7139.96,697.69,7837.65,-81.97,-9.2,-91.17,0,0,0,-637.76,-66.55,0,0,0,0,0,-998.76,0,0,0,0,7199.89,0,-193.45,-621.94,0,5247.22,15/09/2025,M8D2YHQU9XZW66P
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,131,13,3003.35,276.78,3280.13,-16.94,-1.17,-18.11,0,0,0,-215.26,-20.19,0,0,0,0,0,-427.95,0,0,0,0,3064.87,0,-71.71,-255.42,0,2271.49,02/09/2025,DJSWANZG0ZE0R8D
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,161,16,3888.97,367.47,4256.44,-50.74,-5.32,-56.06,0,0,0,-295.41,-29.93,0,0,0,0,0,-549.91,0,0,0,0,3961.03,0,-157.55,-332.22,0,2902.92,08/09/2025,96O7JKWQ4EU8W4M
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,126,21,3278.4,315.74,3594.14,-36.95,-6.16,-43.11,0,0,0,-236.36,-24.14,0,0,0,0,0,-462.33,0,0,0,0,3357.78,0,-203.44,-285.44,0,2348.28,15/09/2025,NNSYWVTA7D3AOOT
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,92,13,2002.89,192.55,2195.44,-74.4,-7.38,-81.78,0,0,0,-248.32,-24.99,0,0,0,0,0,-269.6,0,0,0,0,1947.12,0,-51.05,-160.18,0,1359.52,02/09/2025,PQA2W7J9HVWXQSF
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,138,8,3262.48,320.43,3582.91,-56.8,-5.66,-62.46,0,0,0,-329.77,-34.34,0,0,0,0,0,-452.62,0,0,0,0,3253.14,0,-86.92,-280.43,0,2422.33,08/09/2025,VZ5BHO7YT4J17MB
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,181,19,4131.76,400.94,4532.7,-53.34,-7.54,-60.88,0,0,0,-369.04,-38.34,0,0,0,0,0,-580.92,0,0,0,0,4163.66,0,-192.72,-355.06,0,2947.9,15/09/2025,RM603NU1N3LZJ3X
