Shop name,Shop ID,Shop ID,Order Count,Count of misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Price adjustments (incl. tax),Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Marketing adjustment,Bag fee,Marketplace Fee,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Total sales after adjustments (incl. tax),Capital payments,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Payout reference ID
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,163,11,3989.72,371.72,4361.44,-10.21,-1.83,-12.04,0,0,0,-397.95,-40.72,0,0,0,0,0,-554.19,0,0,0,0,3963.49,0,-18.69,-329.17,0,3022.75,14/07/2025,I5BLHTWKX6IYC5Y
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,181,9,4364.35,408.84,4773.19,-10.78,-1.01,-11.79,0,0,0,-467.93,-47.67,0,0,0,0,0,-596.33,0,0,0,0,4305.26,0,-21.49,-360.16,0,3267.82,21/07/2025,AD1U2SSZ05AA6N1
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,163,14,4039.13,369.47,4408.6,-35.23,-3.63,-38.86,0,0,0,-406.97,-41.07,0,0,0,0,0,-558.36,0,0,0,0,4001.63,0,-60.83,-324.77,0,2991.81,14/07/2025,3978ENGTGKFBEYK
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,144,10,3480.09,307.97,3788.06,17.49,-0.9,16.59,0,0,0,-394.07,-39.74,0,0,0,0,0,-474.48,0,0,0,0,3393.99,0,-20.49,-267.33,0,2608.54,21/07/2025,D5UEKLHIP4IK5NG
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,53,12,1380.85,128.49,1509.34,14.27,0,14.27,0,0,0,-151.9,-15.65,0,0,0,0,0,-187.8,0,0,0,0,1357.44,0,6.53,-112.84,0,1064.63,14/07/2025,X36QJQ1PSYKZ8OE
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,44,8,1158.1,109.37,1267.47,-0.8,-0.08,-0.88,0,0,0,-151.7,-15.94,0,0,0,0,0,-152.29,0,0,0,0,1115.77,0,-11.23,-93.35,0,842.08,21/07/2025,LP3ZPFPI388YP08
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,150,11,3648.13,350.14,3998.27,-0.5,0,-0.5,0,0,0,-288.01,-29.55,0,0,0,0,0,-517.51,0,0,0,0,3710.26,0,-20.18,-320.59,0,2833.32,14/07/2025,J38IOKIPFIM0HVA
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,113,12,2978.74,288.3,3267.04,-4.91,-0.65,-5.56,0,0,0,-397.68,-41.29,0,0,0,0,0,-397.66,0,0,0,0,2869.36,0,-19.34,-246.36,0,2159.15,21/07/2025,QMKH0JE0RSJUI6U
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,320,13,7135.14,695.36,7830.5,-4.34,-1.03,-5.37,0,0,0,-533.69,-55.82,0,0,0,0,0,-1004.15,0,0,0,0,7296.81,0,-23.88,-638.51,0,5603.25,14/07/2025,5XLRSWD0XK24W6R
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,374,13,8244.79,790.95,9035.74,-39.7,-3.14,-42.84,0,0,0,-765.57,-79.85,0,0,0,0,0,-1134.88,0,0,0,0,8270.17,0,-40.33,-707.96,0,6264.31,21/07/2025,P5INA8NV9ZVASET
