Shop name,Shop ID,Shop ID,Order Count,Count of misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Price adjustments (incl. tax),Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Marketing adjustment,Bag fee,Marketplace Fee,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Total sales after adjustments (incl. tax),Capital payments,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Payout reference ID
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,165,10,4230.57,400.87,4631.44,-38.44,-2.54,-40.98,0,0,0,-555.02,-56.79,0,0,0,0,0,-568.41,0,0,0,0,4076.42,0,-20.12,-341.54,0,3048.58,04/08/2025,QIQ3PID8LYK0I9Q
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,170,12,4432.26,413.89,4846.15,-5.6,-0.15,-5.75,0,0,0,-762.65,-76.66,0,0,0,0,0,-561.38,0,0,0,0,4083.5,0,-19.54,-337.08,0,3083.09,11/08/2025,N5B94D7VVCTNIS2
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,130,12,3023.11,281.99,3305.1,-5.39,-0.53,-5.92,0,0,0,-356.81,-36.48,0,0,0,0,0,-409.51,0,0,0,0,2948.29,0,-19.49,-244.98,0,2231.91,04/08/2025,AB6JMDHNST7NGA2
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,146,12,4062.94,365.1,4428.04,-27.71,-6.2,-33.91,0,0,0,-603.79,-61.08,0,0,0,0,0,-527.38,0,0,0,0,3824.25,0,-20.32,-297.82,0,2883.74,11/08/2025,AWA9P7QP5M53G5Y
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,48,11,1134.8,108.21,1243.01,1.81,-0.84,0.97,0,0,0,-66.3,-6.71,0,0,0,0,0,-162.83,0,0,0,0,1176.71,0,-10.93,-100.66,0,896.55,04/08/2025,9XEBD1RWHKH3BJ2
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,35,8,949.23,92.74,1041.97,0,0,0,0,0,0,-131.85,-13.47,0,0,0,0,0,-125.96,0,0,0,0,910.12,0,-8.23,-79.27,0,683.19,11/08/2025,ZKE8B4F6UU15J2O
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,130,13,3161.43,305.59,3467.02,-8.72,-0.53,-9.25,0,0,0,-349.82,-36.12,0,0,0,0,0,-434.36,0,0,0,0,3117.2,0,-18.85,-268.94,0,2349.68,04/08/2025,RUAYOSLL2NPAUE4
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,108,13,2736.36,264.8,3001.16,-3.19,-0.33,-3.52,0,0,0,-332.81,-34.74,0,0,0,0,0,-374.93,0,0,0,0,2668.35,0,-20.6,-229.73,0,2004.83,11/08/2025,HRKQFCQDLKY3G6D
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,321,13,7594.23,742.01,8336.24,-84.39,-8.86,-93.25,0,0,0,-827.52,-86.98,0,0,0,0,0,-1032.92,0,0,0,0,7508.72,0,-40.98,-646.17,0,5608.42,04/08/2025,UEJZ9B2P0CV9ZU7
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,296,14,7374,711.48,8085.48,-67.07,-5.87,-72.94,0,0,0,-877.67,-91.28,0,0,0,0,0,-988.49,0,0,0,0,7207.81,0,-38.09,-614.33,0,5402.68,11/08/2025,N3FLUTVWCM7VZ1K
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,122,11,3018.45,290.31,3308.76,-18.11,-2.45,-20.56,0,0,0,-313.85,-32.5,0,0,0,0,0,-414.88,0,0,0,0,2994.91,0,-21.3,-255.36,0,2250.31,04/08/2025,XZVWK5SF7WUYOFU
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,122,13,3037.18,293.24,3330.42,-10.96,-3.35,-14.31,0,0,0,-317.6,-32.88,0,0,0,0,0,-414.13,0,0,0,0,3012.82,0,-16.52,-257.01,0,2277.97,11/08/2025,XLQCBJP7EU4PIQA
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,143,9,3620.27,361.49,3981.76,-30.43,-2.8,-33.23,0,0,0,-485,-50.61,0,0,0,0,0,-478.01,0,0,0,0,3496.76,0,-19.36,-308.08,0,2607.47,04/08/2025,YQ7YGU0OFQXN500
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,155,13,3840.13,368.93,4209.06,-63.48,-7.98,-71.46,0,0,0,-540.87,-56.57,0,0,0,0,0,-506.12,0,0,0,0,3668.19,0,-20.87,-304.38,0,2708.79,11/08/2025,A6PXA6285S1LKP8
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,84,12,2396.46,232.97,2629.43,-30.44,-3.25,-33.69,0,0,0,-194.05,-20.35,0,0,0,0,0,-336.55,0,0,0,0,2435.38,0,-11.23,-209.37,0,1824.19,04/08/2025,GNCFR58UPDI3KEZ
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,96,10,2539.65,251.22,2790.87,10.04,-2.65,7.39,0,0,0,-282.29,-29.63,0,0,0,0,0,-346.83,0,0,0,0,2508.58,0,-8.75,-218.94,0,1911.82,11/08/2025,VREKXFKZM10JI43
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,225,13,6009.93,561.77,6571.7,-16.97,-4.41,-21.38,0,0,0,-781.09,-77.31,0,0,0,0,22.5,-803.62,0,0,0,0,5813.11,0,-41.71,-480.05,0,4389.04,04/08/2025,CC8O6D8KOV33S71
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,210,14,5429.15,507.79,5936.94,-69.31,-6.24,-75.55,0,0,0,-620.32,-61.45,0,0,0,0,21,-739.54,0,0,0,0,5337.62,0,-40.34,-440.1,0,3980.64,11/08/2025,B43JR18BM14SERS
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,229,14,5902.27,534.16,6436.43,-32.39,-3.15,-35.54,0,0,0,-677.58,-66.65,0,0,0,0,22.9,-807.89,0,0,0,0,5781.75,0,-251.24,-464.36,0,4156.07,04/08/2025,UM9ND8SAY8P8Y9F
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,237,14,5663.32,509.98,6173.3,-28.31,-3.27,-31.58,0,0,0,-604.35,-59.22,0,0,0,0,23.7,-782.26,0,0,0,0,5592.65,0,-254,-447.49,0,4018.1,11/08/2025,1F8VTEPIAF5LUP6
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,239,14,5913.29,581.3,6494.59,-19.61,-1.97,-21.58,0,0,0,-596.7,-62.12,0,0,0,0,0,-816.54,0,0,0,0,5897.89,0,-39.06,-517.21,0,4441.38,04/08/2025,NE96JXD3OX7SKPO
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,213,14,4990.18,483.04,5473.22,-4.64,-3.33,-7.97,0,0,0,-715.24,-74.61,0,0,0,0,0,-659.97,0,0,0,0,4757.98,0,-40.47,-405.1,0,3569.86,11/08/2025,451AEFXTBMBNY7N
