Shop name,Shop ID,Shop ID,Order Count,Count of misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Price adjustments (incl. tax),Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Marketing adjustment,Bag fee,Marketplace Fee,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Total sales after adjustments (incl. tax),Capital payments,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Payout reference ID
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,158,16,3648.78,342.62,3991.4,-6.14,-0.64,-6.78,0,0,0,-420.19,-42.44,0,0,0,0,0,-489.55,0,0,0,0,3571.21,0,-175.77,-299.54,0,2557.13,30/06/2025,CXWCVPJYD6YGB9M
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,144,9,3481.74,328.32,3810.06,-20.55,-2.11,-22.66,0,0,0,-204.98,-21.14,0,0,0,0,0,-497.92,0,0,0,0,3605.08,0,-19.99,-305.07,0,2759.63,07/07/2025,0OMII9PQYWP8SNH
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,162,12,4044.93,368.48,4413.41,-20.36,-2.83,-23.19,0,0,0,-657.13,-67.08,0,0,0,0,0,-520.99,0,0,0,0,3756.28,0,-19.41,-298.57,0,2844.46,30/06/2025,BUIS3RL8MKEUF53
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,108,13,2635.01,230.85,2865.86,-7.42,-0.78,-8.2,0,0,0,-213.52,-21.8,0,0,0,0,0,-374.6,0,0,0,0,2652.34,0,-20.67,-208.27,0,2035.53,07/07/2025,U13ZOF4Y8IATQX3
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,45,8,1123.04,103.07,1226.11,45.87,0,45.87,0,0,0,-122.26,-12.64,0,0,0,0,0,-155.97,0,0,0,0,1103.85,0,-10.6,-90.43,0,883.43,30/06/2025,FEMFDNDBFI1EJ0I
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,48,8,1273.44,121.54,1394.98,-20.79,-1.71,-22.5,0,0,0,-79.32,-8.34,0,0,0,0,0,-184.24,0,0,0,0,1315.66,0,-8.19,-111.49,0,986.04,07/07/2025,GMKYZOFPEAPNW7Z
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,130,12,3124.6,298.13,3422.73,-46.46,-5.15,-51.61,0,0,0,-317.58,-32.74,0,0,0,0,0,-432.41,0,0,0,0,3105.15,0,-20.48,-260.24,0,2318.39,30/06/2025,F65J30F5GUZ3E2D
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,125,13,2782.63,268.73,3051.36,7.79,-2.17,5.62,0,0,0,-138.13,-14.31,0,0,0,0,0,-408.41,0,0,0,0,2913.23,0,-19.03,-252.25,0,2234.29,07/07/2025,UB1RU5S5H07KFM5
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,366,13,9187.57,881.67,10069.24,-42.97,-3.35,-46.32,0,0,0,-1224.3,-127.89,0,0,0,0,0,-1225.7,0,0,0,0,8844.94,0,-39.07,-750.43,0,6691.71,30/06/2025,DJ56YEA660UICRC
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,289,16,6568.3,646.22,7214.52,-20.43,-3.37,-23.8,0,0,0,-476.83,-49.88,0,0,0,0,0,-929.51,0,0,0,0,6737.69,0,-39.14,-592.97,0,5132.01,07/07/2025,A3SJSDFI4UQCDZM
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,63,11,1648.39,157,1805.39,-16.04,-1.68,-17.72,0,0,0,-195.51,-20.11,0,0,0,0,0,-224.03,0,0,0,0,1609.88,0,-37.59,-135.21,0,1185.94,30/06/2025,I7X8SWYEFWS8MP9
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,119,10,3085.5,295.38,3380.88,-16.02,-1.56,-17.58,0,0,0,-155.12,-16.05,0,0,0,0,0,-449.56,0,0,0,0,3225.76,0,-12.96,-277.77,0,2456,07/07/2025,YWORTNZIUUQJYLJ
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,126,10,3161.57,312.94,3474.51,-5.49,-0.58,-6.07,0,0,0,-520.31,-54.18,0,0,0,0,0,-405.73,0,0,0,0,2954.2,0,-15.75,-258.18,0,2234.39,30/06/2025,TAJWMK3M9AW7ATF
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,151,13,3914.69,386.64,4301.33,-27.18,-2.82,-30,0,0,0,-206.24,-21.71,0,0,0,0,0,-570.85,0,0,0,0,4095.09,0,-20.25,-362.11,0,3105.2,07/07/2025,UR6UIUQQ4YS9UCO
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,88,10,2145.49,204.75,2350.24,-7.21,-0.77,-7.98,0,0,0,-257.13,-27.22,0,0,0,0,0,-294.35,0,0,0,0,2093.11,0,-13.72,-176.76,0,1579.11,30/06/2025,CB9W3RLK93EP7Q9
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,73,11,1754.65,166.36,1921.01,-5.34,-0.57,-5.91,0,0,0,-79.09,-8.47,0,0,0,0,0,-261.76,0,0,0,0,1841.92,0,-6.96,-157.32,0,1410.63,07/07/2025,SP2N8DW6GHF0IPZ
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,245,13,6039.29,550.03,6589.32,-41,-2.53,-43.53,0,0,0,-668.64,-65.82,0,0,0,0,24.5,-825.39,0,0,0,0,5945.18,0,-41.72,-481.68,0,4515.85,30/06/2025,DW2BEHN4ZFOE2QE
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,178,14,4632.83,434.54,5067.37,-29.3,-2.87,-32.17,0,0,0,-318.48,-32.02,0,0,0,0,17.8,-663.1,0,0,0,0,4766.69,0,-38.53,-399.65,0,3620.77,07/07/2025,4JL6LXTSMK8UNS4
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,250,15,5869.02,529.91,6398.93,-18.72,-1.83,-20.55,0,0,0,-650.03,-63.5,0,0,0,0,25,-806.62,0,0,0,0,5773.9,0,-254.66,-464.58,0,4194.81,30/06/2025,PGSB421ZSSD577V
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,231,16,5138.48,460.01,5598.49,-48.58,-4.48,-53.06,0,0,0,-197.6,-19.33,0,0,0,0,23.1,-758.03,0,0,0,0,5423.99,0,-247.94,-436.2,0,3933.77,07/07/2025,CR0O3EJPKYI0NYT
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,253,13,5806.06,547.6,6353.66,-85.72,-8.42,-94.14,0,0,0,-654.39,-68.29,0,0,0,0,0,-798.76,0,0,0,0,5699.27,0,-40.33,-470.89,0,4270.41,30/06/2025,SDWQ4QE5QZ4G676
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,220,13,5027.59,487.49,5515.08,-23.61,-1.61,-25.22,0,0,0,-386.38,-40.77,0,0,0,0,0,-712.38,0,0,0,0,5128.7,0,-37.52,-445.11,0,3891.29,07/07/2025,SGDTBEC3F1JXZQ7
