Shop name,Shop ID,Order ID,Workflow ID,Item name,Item priced by,Unit sold by,Estimated average weight,Requested weight,Final weight,Requested count,Final count,Requested quantity,Final quantity,Unit price,External ID ,Dining mode,Payment Mode,Order channel,Order status,Order date,Order confirmed time,Customer Uber Membership Status,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Bag fee,Marketing adjustment,Total sales after adjustments (incl. tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Delivery Fee,Tax on delivery fee,Tips,Capital payments,Other payments description,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
McDonald's® (Rosemd & Duarte),13304,#4090E,02756bd8-ad74-4155-a84b-b24138d4090e,,,,,,,,,,,,,Delivery – partner using Uber app,Digital,UberEats iOS,Completed,23/07/2025,23:53,Uber One member,15.52,1.64,17.16,0,0,0,0,0,0,0,0,0,0,0,0,17.16,-2.48,16,0,0,0,0,0,0,0,0,,0,-1.64,0,13.04,28/07/2025,0,0,,5JXSH8PJWFZGCV5
,,,02756bd8-ad74-4155-a84b-b24138d4090e,Creamy Ranch Sauce,Count,Count,0,0,0,2,2,2,2,0.34,PLU|922,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,0.68,0.09,0.77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,02756bd8-ad74-4155-a84b-b24138d4090e,Spicy Buffalo,Count,Count,0,0,0,2,2,2,2,0.34,PLU|9089,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,0.68,0.08,0.76,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,02756bd8-ad74-4155-a84b-b24138d4090e,Big Mac® Meal,Count,Count,0,0,0,1,1,1,1,13.48,GROUP|8936|6173,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,13.48,1.43,14.91,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,02756bd8-ad74-4155-a84b-b24138d4090e,Honey Mustard,Count,Count,0,0,0,1,1,1,1,0.34,PLU|9088,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,0.34,0.02,0.36,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,02756bd8-ad74-4155-a84b-b24138d4090e,Hot Mustard Dipping Sauce,Count,Count,0,0,0,1,1,1,1,0.34,PLU|903,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,0.34,0.02,0.36,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McDonald's® (Rosemd & Duarte),13304,#9633F,c67c5a33-877f-4f7a-be92-0b48e539633f,,,,,,,,,,,,,Delivery – partner using Uber app,Digital,UberEats iOS,Completed,23/07/2025,23:53,Non-member,17.49,1.71,19.2,0,0,0,0,0,0,0,0,0,0,0,0,19.2,-2.45,14,0,0,0,0,0,0,0,0,,0,-1.71,0,15.04,28/07/2025,0,0,,5JXSH8PJWFZGCV5
,,,c67c5a33-877f-4f7a-be92-0b48e539633f,Spicy Snack Wrap®,Count,Count,0,0,0,1,1,1,1,3.69,PLU|25261,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,3.69,0.37,4.06,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,c67c5a33-877f-4f7a-be92-0b48e539633f,Hamburger Happy Meal®,Count,Count,0,0,0,1,1,1,1,7.36,PLU|6975,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,7.53,0.74,8.27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,c67c5a33-877f-4f7a-be92-0b48e539633f,Filet-O-Fish®,Count,Count,0,0,0,1,1,1,1,6.27,PLU|5926,Delivery – partner using Uber app,,UberEats iOS,Completed,23/07/2025,23:53,,6.27,0.6,6.87,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
