Shop name,Shop ID,Shop ID,Order Count,Count of misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Price adjustments (incl. tax),Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Marketing adjustment,Bag fee,Marketplace Fee,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Total sales after adjustments (incl. tax),Capital payments,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Payout reference ID
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,180,11,4285.35,411.38,4696.73,-15.39,-2.67,-18.06,0,0,0,-628.11,-64.21,0,0,0,0,0,-558.36,0,0,0,0,4068.62,0,-18.99,-344.5,0,3071.86,28/07/2025,5JXSH8PJWFZGCV5
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,165,10,4230.57,400.87,4631.44,-38.44,-2.54,-40.98,0,0,0,-555.02,-56.79,0,0,0,0,0,-568.41,0,0,0,0,4076.42,0,-20.12,-341.54,0,3048.58,04/08/2025,QIQ3PID8LYK0I9Q
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,146,14,3877.23,361.01,4238.24,-35.39,-1.89,-37.28,0,0,0,-587.84,-59.36,0,0,0,0,0,-502.51,0,0,0,0,3650.4,0,-19.34,-299.76,0,2740.15,28/07/2025,L73NDIUA7HPUOPS
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,130,12,3023.11,281.99,3305.1,-5.39,-0.53,-5.92,0,0,0,-356.81,-36.48,0,0,0,0,0,-409.51,0,0,0,0,2948.29,0,-19.49,-244.98,0,2231.91,04/08/2025,AB6JMDHNST7NGA2
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,54,8,1304.84,127.34,1432.18,-9.78,-1.03,-10.81,0,0,0,-131.27,-13.33,0,0,0,0,0,-179.31,0,0,0,0,1300.91,0,-8.31,-112.98,0,978.41,28/07/2025,PLFTJETXN5R1AE9
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,48,11,1134.8,108.21,1243.01,1.81,-0.84,0.97,0,0,0,-66.3,-6.71,0,0,0,0,0,-162.83,0,0,0,0,1176.71,0,-10.93,-100.66,0,896.55,04/08/2025,9XEBD1RWHKH3BJ2
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,127,13,2957.17,289.98,3247.15,-1.54,-0.63,-2.17,0,0,0,-263.06,-27.48,0,0,0,0,0,-416.01,0,0,0,0,2984.09,0,-20.41,-261.87,0,2263.51,28/07/2025,WBZRBLERDTHUDTZ
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,130,13,3161.43,305.59,3467.02,-8.72,-0.53,-9.25,0,0,0,-349.82,-36.12,0,0,0,0,0,-434.36,0,0,0,0,3117.2,0,-18.85,-268.94,0,2349.68,04/08/2025,RUAYOSLL2NPAUE4
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,354,16,8667.65,848.84,9516.49,-80.58,-9.8,-90.38,0,0,0,-1036.15,-108.38,0,0,0,0,0,-1165.05,0,0,0,0,8480.34,0,-99.81,-730.66,0,6298.22,28/07/2025,NFXGOKA1RP4JAA7
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,321,13,7594.23,742.01,8336.24,-84.39,-8.86,-93.25,0,0,0,-827.52,-86.98,0,0,0,0,0,-1032.92,0,0,0,0,7508.72,0,-40.98,-646.17,0,5608.42,04/08/2025,UEJZ9B2P0CV9ZU7
