Shop name,Shop ID,Shop ID,Order Count,Count of misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Price adjustments (incl. tax),Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Marketing adjustment,Bag fee,Marketplace Fee,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Total sales after adjustments (incl. tax),Capital payments,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Payout reference ID
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,223,22,5358.21,495.57,5853.78,-2.98,-3.45,-6.43,0,0,0,-563.93,-57.7,0,0,0,0,0,-741.61,0,0,0,0,5289.85,0,-151.28,-434.42,0,3898.41,22/09/2025,C9FQGCKUMOW2S8L
McDonald's® (Rosemd & Duarte),4b892c34-4a74-43a3-b849-f14a67f7a96b,13304,259,25,6247.79,568.79,6816.58,-7.54,-0.77,-8.31,0,0,0,-641.67,-65.14,0,0,0,0,0,-865.16,0,0,0,0,6174.91,0,-152.7,-502.88,0,4580.72,29/09/2025,K582NMCXHCCWG8B
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,167,23,4068.43,378.55,4446.98,-28.58,-4.07,-32.65,0,0,0,-420.04,-42.82,0,0,0,0,0,-562.18,0,0,0,0,4026.94,0,-120.8,-331.66,0,2936.83,22/09/2025,JHZDSFJBAHICKRD
McDonald's® (Valley/Walnut Grove),17f08fe8-346f-47b6-be77-2331065e0215,25534,148,24,3480.72,328.6,3809.32,-10.67,-0.77,-11.44,0,0,0,-414.84,-42.4,0,0,0,0,0,-470.52,0,0,0,0,3394.48,0,-142.56,-285.43,0,2442.13,29/09/2025,26CUXOFCRTY4E88
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,71,22,1785.63,167.31,1952.94,33.36,-2.04,31.32,0,0,0,-127.48,-13.22,0,0,0,0,0,-260.53,0,0,0,0,1825.46,0,-58.28,-152.05,0,1372.7,22/09/2025,JCJNLSN6PHI3KTX
McDonald's® (San Gabrl/San Ga),1f8ab679-c108-4b76-a4ba-62f48e2c9357,11375,35,18,909.72,87.23,996.95,-36.5,-3.38,-39.88,0,0,0,-70.16,-7.25,0,0,0,0,0,-129.17,0,0,0,0,926.79,0,-75.33,-76.6,0,598.56,29/09/2025,081JF9SKT93E8Y0
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,150,23,3466.24,335.98,3802.22,-6.28,-0.66,-6.94,0,0,0,-285.32,-29.78,0,0,0,0,0,-486.95,0,0,0,0,3516.9,0,-56.82,-305.54,0,2630.87,22/09/2025,SQP6ISBLJ1DWS0G
McDonald's® (S Pasadena-F Oak),d0d08d0d-9b9f-47b0-8958-33b9e25f2f35,942,146,25,3436.21,331.57,3767.78,-3.77,-1.06,-4.83,0,0,0,-366.76,-37.94,0,0,0,0,0,-472.65,0,0,0,0,3401.02,0,-66.92,-292.57,0,2526.11,29/09/2025,8RJR34WBG87GPXF
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,342,27,8007.81,780.27,8788.08,-18.82,-5.15,-23.97,0,0,0,-743.6,-77.09,0,0,0,0,0,-1122.16,0,0,0,0,8044.48,0,-174.8,-698.03,0,5948.43,22/09/2025,DDA48HNJIHNMU3F
McDonald's® (Pasadena/Lake),99e3a709-e1ea-41dd-81f2-9d65086dad02,804,327,24,7843.93,775.05,8618.98,-93.81,-7.67,-101.48,0,0,0,-672.28,-69.68,0,0,0,0,0,-1105.69,0,0,0,0,7946.7,0,-161.44,-697.7,0,5810.71,29/09/2025,GS3TGIJAUKU4ZTY
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,171,24,3771.73,357.5,4129.23,-9.25,-2.15,-11.4,0,0,0,-254.39,-25.92,0,0,0,0,0,-541.72,0,0,0,0,3874.84,0,-83.37,-329.43,0,2883,22/09/2025,G2YWGXNZISTRV2P
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,146,24,3664.26,344.04,4008.3,-10.54,-1.03,-11.57,0,0,0,-347.98,-35.74,0,0,0,0,0,-510.93,0,0,0,0,3660.32,0,-134.13,-307.27,0,2660.68,29/09/2025,JTW5OO8AWSM6YGT
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,201,22,4966.26,494.39,5460.65,-21.88,-3.53,-25.41,0,0,0,-490.72,-51.51,0,0,0,0,0,-686.35,0,0,0,0,4969.93,0,-131.23,-439.35,0,3636.08,22/09/2025,WW2P92489HBAFFI
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,195,23,4722.29,466.77,5189.06,-104.52,-10.15,-114.67,0,0,0,-377.88,-39.54,0,0,0,0,0,-670.74,0,0,0,0,4811.18,0,-148.93,-417.08,0,3420.22,29/09/2025,PU1RLDDMTZCB2VY
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,162,18,3906.67,379.26,4285.93,-113.3,-11.41,-124.71,0,0,0,-343.12,-35.53,0,0,0,0,0,-549.04,0,0,0,0,3942.81,0,-116.78,-332.32,0,2784.43,22/09/2025,WE78PHJ4DYB0D8M
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,189,22,4474.34,436.84,4911.18,-139.5,-17.69,-157.19,0,0,0,-469.46,-48.75,0,0,0,0,0,-618.62,0,0,0,0,4441.72,0,-209.76,-370.4,0,3037,29/09/2025,0GHE0YDLJ2JAA61
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,220,25,5195.76,487.65,5683.41,-12.96,-1.5,-14.46,0,0,0,-416.08,-40.8,0,0,0,0,22,-731.08,0,0,0,0,5289.33,0,-161.96,-445.35,0,3895.68,22/09/2025,2MIZ3GOVZOAFKOL
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,275,28,6498.34,589.83,7088.17,-79.6,-7.38,-86.98,0,0,0,-624.53,-61.69,0,0,0,0,27.5,-904.7,0,0,0,0,6491.14,0,-213.34,-520.76,0,4703.67,29/09/2025,F26LEUG4OSHWPBI
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,211,14,5082.35,457.58,5539.93,-134.35,-15.18,-149.53,0,0,0,-483.11,-47.47,0,0,0,0,21.1,-716.34,0,0,0,0,5077.92,0,-113.13,-394.93,0,3656.52,22/09/2025,1EZAX6AR3N84A63
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,171,14,3903.07,345.47,4248.54,-83.29,-6.1,-89.39,0,0,0,-373.22,-36.43,0,0,0,0,17.1,-550.8,0,0,0,0,3892.42,0,-85.05,-302.94,0,2827.81,29/09/2025,8W0Y61CT5ZMEXJ9
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,295,27,6587,634.63,7221.63,-81.39,-8.17,-89.56,0,0,0,-676.92,-70.05,0,0,0,0,0,-917.32,0,0,0,0,6544.71,0,-190.05,-556.41,0,4721.32,22/09/2025,LM5B3NVDKCKRSIX
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,280,25,6228.12,606.65,6834.77,-27.29,-2.83,-30.12,0,0,0,-669.36,-69.64,0,0,0,0,0,-852,0,0,0,0,6165.41,0,-174.6,-534.18,0,4504.87,29/09/2025,NAW1VQQYZ0O2M3T
